s_code,s_name,d_name,c_name,enroll12,num_tst_takr,pct_tst_takr
126557.0,Visual and Performing Arts at Legacy High School Complex,Los Angeles Unified,Los Angeles,115.0,5.0,0.043
112284.0,California Virtual Academy San Mateo,Jefferson Elementary,San Mateo,94.0,4.0,0.043
1939107.0,Verdugo Hills Senior High,Los Angeles Unified,Los Angeles,327.0,14.0,0.043
120659.0,Visalia Technical Early College,Visalia Unified,Tulare,70.0,3.0,0.043
2330900.0,Anderson Valley Junior-Senior High,Anderson Valley Unified,Mendocino,46.0,2.0,0.043
109793.0,South Sutter Charter,Marcum-Illinois Union Elementary,Sutter,140.0,6.0,0.043
1132851.0,Willows High,Willows Unified,Glenn,115.0,5.0,0.043
131250.0,Mountain Valley Academy,Ramona City Unified,San Diego,23.0,1.0,0.043
111773.0,Family Partnership Charter,Blochman Union Elementary,Santa Barbara,47.0,2.0,0.043
124131.0,California Preparatory Academy,Capistrano Unified,Orange,68.0,3.0,0.044
3430378.0,Center High,Center Joint Unified,Sacramento,315.0,14.0,0.044
125849.0,California Connections Academy @ Ripon,Ripon Unified,San Joaquin,206.0,9.0,0.044
110007.0,Ocean Grove Charter,San Lorenzo Valley Unified,Santa Cruz,89.0,4.0,0.045
3630811.0,Shadow Ridge,Hesperia Unified,San Bernardino,22.0,1.0,0.045
137836.0,Pivot Charter School Riverside,Riverside County Office of Education,Riverside,22.0,1.0,0.045
5730098.0,Davis School for Independent Study,Davis Joint Unified,Yolo,22.0,1.0,0.045
120493.0,Monarch,San Diego County Office of Education,San Diego,22.0,1.0,0.045
3930427.0,Weber Institute,Stockton Unified,San Joaquin,108.0,5.0,0.046
4334900.0,Mt. Pleasant High,East Side Union High,Santa Clara,307.0,14.0,0.046
3630761.0,Excelsior Charter,San Bernardino County Office of Education,San Bernardino,279.0,13.0,0.047
3432838.0,Encina Preparatory High,San Juan Unified,Sacramento,149.0,7.0,0.047
106351.0,Ivy Academia,Los Angeles Unified,Los Angeles,43.0,2.0,0.047
110833.0,River Springs Charter,Riverside County Office of Education,Riverside,213.0,10.0,0.047
5130075.0,Yuba City Independence Academy,Yuba City Unified,Sutter,21.0,1.0,0.048
130930.0,Vista Oaks Charter,Byron Union Elementary,Contra Costa,104.0,5.0,0.048
118323.0,National University Academy,Lakeside Union Elementary,San Diego,21.0,1.0,0.048
111856.0,American Indian Public High,Oakland Unified,Alameda,62.0,3.0,0.048
1032150.0,Fowler High,Fowler Unified,Fresno,203.0,10.0,0.049
3236007.0,Quincy Junior/Senior High,Plumas Unified,Plumas,41.0,2.0,0.049
127647.0,e3 Civic High,San Diego Unified,San Diego,81.0,4.0,0.049
107102.0,Kearny Eng Innov & Design,San Diego Unified,San Diego,60.0,3.0,0.05
5536503.0,Sonora High,Sonora Union High,Tuolumne,218.0,11.0,0.05
3733219.0,Julian High,Julian Union High,San Diego,20.0,1.0,0.05
3731239.0,Julian Charter,Julian Union Elementary,San Diego,119.0,6.0,0.05
1536135.0,Tehachapi High,Tehachapi Unified,Kern,280.0,14.0,0.05
5031521.0,Denair High,Denair Unified,Stanislaus,60.0,3.0,0.05
132233.0,John Henry High,West Contra Costa Unified,Contra Costa,78.0,4.0,0.051
128736.0,Opportunities for Learning - Duarte,Duarte Unified,Los Angeles,78.0,4.0,0.051
110205.0,Lemoore Middle College High,Lemoore Union High,Kings,59.0,3.0,0.051
107003.0,Northridge Academy High,Los Angeles Unified,Los Angeles,235.0,12.0,0.051
114850.0,West Adams Preparatory High,Los Angeles Unified,Los Angeles,252.0,13.0,0.052
4930236.0,Valley Oaks High (Alternative),Petaluma Joint Union High,Sonoma,19.0,1.0,0.053
